ErrDate,ErrTime,ErrNumber,Error,ErrLine,ErrPlace,Hint
20-01-2023,09:46:25 AM,76,Path not found: 'C:\Users\Deepak\Downloads\Capture.jpg',0,frmMonitor,LoadSettingsData
20-01-2023,09:47:14 AM,76,Path not found: 'C:\Users\Deepak\Downloads\Capture.jpg',0,frmMonitor,LoadSettingsData
20-01-2023,09:47:14 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:14 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:15 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:15 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:15 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:15 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:15 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:15 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:15 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:15 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:15 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:15 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:15 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:15 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:16 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:16 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:16 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:16 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:16 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:16 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:16 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:16 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:16 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:16 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:16 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:16 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:17 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:17 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:17 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:17 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:17 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:17 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:17 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:17 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:17 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:17 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:17 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:17 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:18 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:18 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:18 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:18 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:18 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:18 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:18 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:18 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:18 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:18 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:18 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:18 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:19 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:19 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:19 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:19 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:19 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:19 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:19 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:19 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:19 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:19 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:19 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:19 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:20 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:20 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:20 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:20 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:20 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:20 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:20 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:20 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:20 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:20 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:20 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:20 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:21 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:21 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:21 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:21 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:21 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:21 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:21 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:21 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:21 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:21 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:21 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:21 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:22 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:22 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:22 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:22 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:22 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:22 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:22 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:22 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:22 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:22 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:23 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:23 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:23 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:23 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:23 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:23 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:23 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:23 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:23 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:23 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:23 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:23 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:24 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:24 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:24 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:24 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:24 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:24 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:42 AM,76,Path not found: 'C:\Users\Deepak\Downloads\Capture.jpg',0,frmMonitor,LoadSettingsData
20-01-2023,09:47:43 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
