Sn,Degree,Volt CH-1,Volt CH-2,Torque,Sync
1,0,0.939,0.464,0,2.024
2,0.2,0.939,0.465,0.046,2.019
3,0.4,0.939,0.465,0.126,2.019
4,0.6,0.939,0.465,0.16,2.019
5,0.8,0.939,0.465,0.203,2.019
6,1,0.939,0.467,0.238,2.011
7,1.2,0.942,0.47,0.282,2.004
8,1.4,0.949,0.473,0.313,2.006
9,1.6,0.956,0.477,0.334,2.004
10,1.8,0.965,0.481,0.322,2.006
11,2,0.975,0.486,0.341,2.006
12,2.2,0.982,0.49,0.344,2.004
13,2.4,0.993,0.496,0.336,2.002
14,2.6,1.002,0.5,0.346,2.004
15,2.8,1.012,0.505,0.342,2.004
16,3,1.022,0.51,0.333,2.004
17,3.2,1.032,0.515,0.342,2.004
18,3.4,1.041,0.52,0.34,2.002
19,3.6,1.049,0.523,0.336,2.006
20,3.8,1.059,0.528,0.349,2.006
21,4,1.067,0.533,0.346,2.002
22,4.2,1.078,0.538,0.351,2.004
23,4.4,1.086,0.542,0.353,2.004
24,4.6,1.096,0.547,0.345,2.004
25,4.8,1.105,0.551,0.351,2.005
26,5,1.115,0.557,0.353,2.002
27,5.2,1.123,0.56,0.35,2.005
28,5.4,1.132,0.565,0.35,2.004
29,5.6,1.142,0.57,0.356,2.004
30,5.8,1.149,0.574,0.358,2.002
31,6,1.159,0.579,0.356,2.002
32,6.2,1.168,0.583,0.359,2.003
33,6.4,1.178,0.588,0.362,2.003
34,6.6,1.187,0.592,0.356,2.005
35,6.8,1.198,0.598,0.358,2.003
36,7,1.206,0.602,0.361,2.003
37,7.2,1.215,0.606,0.357,2.005
38,7.4,1.226,0.612,0.363,2.003
39,7.6,1.234,0.616,0.365,2.003
40,7.8,1.244,0.621,0.367,2.003
41,8,1.253,0.625,0.37,2.005
42,8.2,1.263,0.63,0.366,2.005
43,8.4,1.272,0.635,0.365,2.003
44,8.6,1.283,0.64,0.367,2.005
45,8.8,1.291,0.644,0.368,2.005
46,9,1.3,0.649,0.367,2.003
47,9.2,1.31,0.654,0.37,2.003
48,9.4,1.319,0.658,0.374,2.005
49,9.6,1.328,0.663,0.371,2.003
50,9.8,1.337,0.667,0.37,2.004
51,10,1.347,0.672,0.374,2.004
52,10.2,1.355,0.676,0.372,2.004
53,10.4,1.365,0.681,0.375,2.004
54,10.6,1.373,0.685,0.374,2.004
55,10.8,1.382,0.689,0.368,2.006
56,11,1.392,0.695,0.378,2.003
57,11.2,1.4,0.699,0.375,2.003
58,11.4,1.409,0.703,0.375,2.004
59,11.6,1.417,0.707,0.383,2.004
60,11.8,1.427,0.712,0.38,2.004
61,12,1.435,0.717,0.382,2.001
62,12.2,1.445,0.722,0.378,2.001
63,12.4,1.454,0.727,0.379,2
64,12.6,1.462,0.73,0.386,2.003
65,12.8,1.473,0.736,0.389,2.001
66,13,1.482,0.74,0.384,2.003
67,13.2,1.492,0.745,0.389,2.003
68,13.4,1.5,0.749,0.394,2.003
69,13.6,1.511,0.754,0.39,2.004
70,13.8,1.52,0.759,0.39,2.003
71,14,1.529,0.763,0.395,2.004
72,14.2,1.537,0.768,0.393,2.001
73,14.4,1.546,0.772,0.395,2.003
74,14.6,1.555,0.777,0.4,2.001
75,14.8,1.564,0.781,0.4,2.003
76,15,1.573,0.786,0.402,2.001
77,15.2,1.581,0.79,0.407,2.001
78,15.4,1.592,0.795,0.405,2.003
79,15.6,1.599,0.799,0.403,2.001
80,15.8,1.609,0.804,0.412,2.001
81,16,1.617,0.808,0.408,2.001
82,16.2,1.625,0.812,0.406,2.001
83,16.4,1.635,0.816,0.419,2.004
84,16.6,1.643,0.82,0.412,2.004
85,16.8,1.652,0.825,0.418,2.002
86,17,1.66,0.829,0.427,2.002
87,17.2,1.67,0.833,0.411,2.005
88,17.4,1.678,0.837,0.418,2.005
89,17.6,1.688,0.843,0.422,2.002
90,17.8,1.696,0.847,0.413,2.002
91,18,1.705,0.851,0.419,2.004
92,18.2,1.714,0.855,0.421,2.005
93,18.4,1.721,0.859,0.427,2.003
94,18.6,1.731,0.863,0.427,2.006
95,18.8,1.739,0.867,0.424,2.006
96,19,1.748,0.872,0.426,2.005
97,19.2,1.756,0.876,0.427,2.005
98,19.4,1.766,0.881,0.424,2.005
99,19.6,1.773,0.885,0.425,2.003
100,19.8,1.781,0.889,0.42,2.003
101,20,1.79,0.894,0.425,2.002
102,20.2,1.798,0.898,0.429,2.002
103,20.4,1.808,0.903,0.428,2.002
104,20.6,1.815,0.907,0.426,2.001
105,20.8,1.825,0.911,0.426,2.003
106,21,1.833,0.915,0.431,2.003
107,21.2,1.843,0.92,0.43,2.003
108,21.4,1.851,0.925,0.427,2.001
109,21.6,1.859,0.929,0.431,2.001
110,21.8,1.87,0.934,0.435,2.002
111,22,1.877,0.938,0.435,2.001
112,22.2,1.888,0.943,0.434,2.002
113,22.4,1.896,0.948,0.441,2
114,22.6,1.906,0.953,0.438,2
115,22.8,1.915,0.957,0.441,2.001
116,23,1.926,0.963,0.437,2
117,23.2,1.934,0.967,0.439,2
118,23.4,1.943,0.971,0.441,2.001
119,23.6,1.953,0.976,0.443,2.001
120,23.8,1.962,0.98,0.444,2.002
121,24,1.973,0.986,0.445,2.001
122,24.2,1.982,0.99,0.448,2.002
123,24.4,1.993,0.995,0.452,2.003
124,24.6,2.002,0.999,0.447,2.004
125,24.8,2.013,1.004,0.447,2.005
126,25,2.02,1.008,0.453,2.004
127,25.2,2.028,1.012,0.447,2.004
128,25.4,2.039,1.017,0.451,2.005
129,25.6,2.047,1.021,0.451,2.005
130,25.8,2.056,1.026,0.458,2.004
131,26,2.064,1.03,0.459,2.004
132,26.2,2.076,1.036,0.455,2.004
133,26.4,2.084,1.04,0.455,2.004
134,26.6,2.094,1.045,0.456,2.004
135,26.8,2.102,1.049,0.455,2.004
136,27,2.111,1.053,0.455,2.005
137,27.2,2.12,1.058,0.46,2.004
138,27.4,2.129,1.062,0.462,2.005
139,27.6,2.139,1.067,0.461,2.005
140,27.8,2.147,1.071,0.466,2.005
141,28,2.157,1.076,0.461,2.005
142,28.2,2.166,1.08,0.463,2.006
143,28.4,2.176,1.086,0.465,2.004
144,28.6,2.185,1.09,0.466,2.005
145,28.8,2.193,1.094,0.467,2.005
146,29,2.203,1.1,0.471,2.003
147,29.2,2.211,1.104,0.466,2.003
148,29.4,2.222,1.108,0.475,2.005
149,29.6,2.23,1.112,0.476,2.005
150,29.8,2.241,1.117,0.477,2.006
151,30,2.248,1.121,0.478,2.005
152,30.2,2.257,1.126,0.482,2.004
153,30.4,2.265,1.13,0.482,2.004
154,30.6,2.273,1.133,0.48,2.006
155,30.8,2.282,1.138,0.484,2.005
156,31,2.289,1.142,0.491,2.004
157,31.2,2.299,1.147,0.492,2.004
158,31.4,2.306,1.151,0.494,2.003
159,31.6,2.317,1.156,0.493,2.004
160,31.8,2.324,1.16,0.496,2.003
161,32,2.334,1.165,0.499,2.003
162,32.2,2.343,1.17,0.498,2.003
163,32.4,2.351,1.174,0.496,2.003
164,32.6,2.361,1.179,0.506,2.003
165,32.8,2.369,1.183,0.505,2.003
166,33,2.379,1.188,0.51,2.003
167,33.2,2.388,1.193,0.508,2.002
168,33.4,2.399,1.198,0.509,2.003
169,33.6,2.407,1.202,0.513,2.002
170,33.8,2.419,1.208,0.51,2.002
171,34,2.427,1.212,0.514,2.002
172,34.2,2.435,1.216,0.515,2.002
173,34.4,2.447,1.221,0.514,2.004
174,34.6,2.456,1.225,0.515,2.005
175,34.8,2.466,1.23,0.524,2.005
176,35,2.474,1.234,0.524,2.005
177,35.2,2.484,1.239,0.521,2.005
178,35.4,2.492,1.243,0.524,2.005
179,35.6,2.502,1.248,0.521,2.005
180,35.8,2.511,1.253,0.525,2.004
181,36,2.519,1.257,0.524,2.004
182,36.2,2.529,1.262,0.528,2.004
183,36.4,2.537,1.266,0.531,2.004
184,36.6,2.547,1.272,0.53,2.002
185,36.8,2.555,1.276,0.534,2.002
186,37,2.564,1.28,0.542,2.003
187,37.2,2.573,1.285,0.542,2.002
188,37.4,2.583,1.29,0.547,2.002
189,37.6,2.591,1.294,0.546,2.002
190,37.8,2.6,1.299,0.537,2.002
191,38,2.61,1.304,0.543,2.002
192,38.2,2.619,1.308,0.541,2.002
193,38.4,2.629,1.314,0.537,2.001
194,38.6,2.638,1.318,0.545,2.002
195,38.8,2.648,1.323,0.543,2.002
196,39,2.657,1.327,0.54,2.002
197,39.2,2.667,1.332,0.542,2.002
198,39.4,2.675,1.336,0.545,2.002
199,39.6,2.683,1.34,0.543,2.002
200,39.8,2.694,1.345,0.547,2.003
201,40,2.702,1.35,0.549,2.001
202,40.2,2.712,1.355,0.55,2.001
203,40.4,2.72,1.359,0.557,2.001
204,40.6,2.73,1.364,0.555,2.001
205,40.8,2.738,1.368,0.55,2.001
206,41,2.748,1.373,0.553,2.001
207,41.2,2.757,1.377,0.557,2.002
208,41.4,2.765,1.381,0.552,2.002
209,41.6,2.774,1.386,0.56,2.001
210,41.8,2.782,1.39,0.562,2.001
211,42,2.793,1.395,0.562,2.002
212,42.2,2.801,1.399,0.562,2.002
213,42.4,2.811,1.404,0.561,2.002
214,42.6,2.82,1.409,0.562,2.001
215,42.8,2.83,1.414,0.563,2.001
216,43,2.839,1.418,0.557,2.002
217,43.2,2.847,1.423,0.56,2.001
218,43.4,2.856,1.427,0.566,2.001
219,43.6,2.865,1.432,0.565,2.001
220,43.8,2.875,1.437,0.571,2.001
221,44,2.883,1.441,0.572,2.001
222,44.2,2.893,1.446,0.57,2.001
223,44.4,2.901,1.45,0.569,2.001
224,44.6,2.911,1.455,0.573,2.001
225,44.8,2.919,1.459,0.571,2.001
226,45,2.928,1.463,0.565,2.001
227,45.2,2.938,1.468,0.577,2.001
228,45.4,2.946,1.473,0.575,2
229,45.6,2.956,1.477,0.579,2.001
230,45.8,2.965,1.482,0.577,2.001
231,46,2.975,1.487,0.573,2.001
232,46.2,2.983,1.491,0.58,2.001
233,46.4,2.993,1.496,0.579,2.001
234,46.6,3.002,1.5,0.575,2.001
235,46.8,3.01,1.505,0.579,2
236,47,3.02,1.51,0.584,2
237,47.2,3.031,1.515,0.581,2.001
238,47.4,3.041,1.52,0.586,2.001
239,47.6,3.05,1.524,0.589,2.001
240,47.8,3.062,1.53,0.587,2.001
241,48,3.07,1.534,0.586,2.001
242,48.2,3.081,1.539,0.59,2.002
243,48.4,3.089,1.543,0.589,2.002
244,48.6,3.098,1.548,0.585,2.001
245,48.8,3.108,1.553,0.592,2.001
246,49,3.117,1.557,0.589,2.002
247,49.2,3.127,1.562,0.596,2.002
248,49.4,3.135,1.566,0.601,2.002
249,49.6,3.144,1.571,0.595,2.001
250,49.8,3.153,1.575,0.597,2.002
251,50,3.162,1.58,0.601,2.001
252,50.2,3.17,1.584,0.598,2.001
253,50.4,3.177,1.588,0.599,2.001
254,50.6,3.187,1.593,0.599,2.001
255,50.8,3.195,1.597,0.599,2.001
256,51,3.204,1.602,0.603,2
257,51.2,3.212,1.606,0.606,2
258,51.4,3.222,1.611,0.603,2
259,51.6,3.23,1.615,0.606,2
