Sn,Degree,Volt CH-1,Volt CH-2,Load,Sync,,,,,,,,,,,,
1,0,0.932,0.465,0,2.004,,,,,,,,,,,,
2,0.2,0.932,0.466,0.048,2,,slop-ch1,0.0450,,,0.0450,,,,,,
3,0.4,0.932,0.465,0.11,2.004,,slope-ch2,0.0226,,,0.0226,,,,,,
4,0.6,0.932,0.465,0.12,2.004,,,,,,,,,,,,
5,0.8,0.932,0.465,0.168,2.004,,,,,,,,,,,,
6,1,0.934,0.468,0.165,1.996,,,,,,,0.961997,,,,,
7,1.2,0.943,0.472,0.154,1.998,,,,,,0.9430,0.47252,0.2247,0.2,0.934,,
8,1.4,0.953,0.477,0.17,1.998,,,,,,0.9520,0.47652,0.2200,,0.009,,
9,1.6,0.962,0.482,0.162,1.996,,0.9620,,,,0.9620,0.48152,0.4313,,0.943,,
10,1.8,0.971,0.486,0.16,1.998,,0.9710,0.4865,,,0.9710,0.48652,0.2119,,,1.997881356,0.002118644
11,2,0.981,0.491,0.174,1.998,,0.9800,0.4905,,,0.9800,0.49052,0.2076,,0.002118644,0.943,0.002246706
12,2.2,0.99,0.496,0.162,1.996,,0.9900,0.4955,,,0.9900,0.49552,0.4073,,,,0.224670633
13,2.4,1,0.501,0.17,1.996,,0.9990,0.5005,,,0.9990,0.50052,0.3992,,,,
14,2.6,1.008,0.505,0.169,1.996,,1.0090,0.5055,,,1.0090,0.50552,0.3929,,,,
15,2.8,1.019,0.51,0.165,1.998,,1.0170,0.5095,,,1.0170,0.50952,0.1924,,,,
16,3,1.027,0.514,0.17,1.998,,1.0280,0.5145,,,1.0280,0.51452,0.1894,,,,
17,3.2,1.037,0.519,0.167,1.998,,1.0360,0.5185,,,1.0360,0.51852,0.1858,,,,
18,3.4,1.045,0.523,0.164,1.998,,1.0460,0.5235,,,1.0460,0.52352,0.1830,,,,
19,3.6,1.054,0.528,0.169,1.996,,1.0540,0.5275,,,1.0540,0.52752,0.3594,,,,
20,3.8,1.064,0.533,0.172,1.996,,1.0630,0.5325,,,1.0630,0.53252,0.3527,,,,
21,4,1.071,0.536,0.171,1.998,,1.0730,0.5375,,,1.0730,0.53752,0.1742,,,,
22,4.2,1.081,0.541,0.177,1.998,,1.0800,0.5405,,,1.0800,0.54052,0.1710,,,,
23,4.4,1.089,0.545,0.174,1.998,,1.0900,0.5455,,,1.0900,0.54552,0.1685,,,,
24,4.6,1.1,0.55,0.173,2,,1.0980,0.5495,,,1.0980,0.54952,0.0000,,,,
25,4.8,1.107,0.554,0.176,1.998,,1.1090,0.5545,,,1.1090,0.55452,0.1631,,,,
26,5,1.118,0.56,0.174,1.996,,1.1160,0.5585,,,1.1160,0.55852,0.3194,,,,
27,5.2,1.126,0.563,0.175,2,,1.1270,0.5645,,,1.1270,0.56452,0.0000,,,,
28,5.4,1.134,0.567,0.18,2,,1.1350,0.5675,,,1.1350,0.56752,0.0000,,,,
29,5.6,1.144,0.573,0.184,1.997,,1.1430,0.5715,,,1.1430,0.57152,0.3051,,,,
30,5.8,1.152,0.577,0.182,1.997,,1.1530,0.5775,,,1.1530,0.57752,0.3009,,,,
31,6,1.163,0.582,0.185,1.998,,1.1610,0.5815,,,1.1610,0.58152,0.1477,,,,
32,6.2,1.171,0.586,0.185,1.998,,1.1720,0.5865,,,1.1720,0.58652,,,,,
33,6.4,1.182,0.592,0.183,1.997,,1.1800,0.5905,,,1.1800,0.59052,,,,,
34,6.6,1.191,0.596,0.185,1.998,,1.1910,0.5965,,,1.1910,0.59652,,,,,
35,6.8,1.202,0.601,0.182,2,,1.2000,0.6005,,,1.2000,0.60052,,,,,
36,7,1.21,0.605,0.183,2,,1.2110,0.6055,,,1.2110,0.60552,,,,,
37,7.2,1.218,0.609,0.189,2,,1.2190,0.6095,,,1.2190,0.60952,,,,,
38,7.4,1.229,0.615,0.187,1.998,,1.2270,0.6135,,,1.2270,0.61352,,,,,
39,7.6,1.237,0.619,0.191,1.998,,1.2380,0.6195,,,1.2380,0.61952,,,,,
40,7.8,1.247,0.624,0.191,1.998,,1.2460,0.6235,,,1.2460,0.62352,,,,,
41,8,1.256,0.628,0.188,2,,1.2560,0.6285,,,1.2560,0.62852,,,,,
42,8.2,1.265,0.633,0.191,1.998,,1.2650,0.6325,,,1.2650,0.63252,,,,,
43,8.4,1.274,0.637,0.192,2,,1.2740,0.6375,,,1.2740,0.63752,,,,,
44,8.6,1.284,0.642,0.189,2,,1.2830,0.6415,,,1.2830,0.64152,,,,,
45,8.8,1.293,0.647,0.193,1.998,,1.2930,0.6465,,,1.2930,0.64652,,,,,
46,9,1.3,0.651,0.192,1.997,,1.3020,0.6515,,,1.3020,0.65152,,,,,
47,9.2,1.31,0.655,0.197,2,,1.3090,0.6555,,,1.3090,0.65552,,,,,
48,9.4,1.317,0.659,0.197,1.998,,1.3190,0.6595,,,1.3190,0.65952,,,,,
49,9.6,1.328,0.664,0.199,2,,1.3260,0.6635,,,1.3260,0.66352,,,,,
