Sn,Degree,Volt CH-1,Volt CH-2,Load,Sync
1,0,0.768,0.409,0.3,1.878
2,0.05,0.768,0.409,0.7,1.878
3,0.1,0.768,0.409,2.3,1.878
4,0.15,0.768,0.409,3.5,1.878
5,0.2,0.768,0.409,4.8,1.878
6,0.25,0.768,0.409,5.9,1.878
7,0.3,0.768,0.409,6.9,1.878
8,0.35,0.768,0.409,7.9,1.878
9,0.4,0.768,0.409,8.9,1.878
10,0.45,0.768,0.406,9.8,1.892
11,0.5,0.768,0.405,10.7,1.896
12,0.55,0.769,0.404,11.5,1.903
13,0.6,0.769,0.405,12.3,1.899
14,0.65,0.769,0.404,13,1.903
15,0.7,0.769,0.404,13.6,1.903
16,0.75,0.769,0.404,14.1,1.903
17,0.8,0.782,0.404,14.3,1.936
18,0.85,0.792,0.405,14.5,1.956
19,0.9,0.805,0.404,14.5,1.993
20,0.95,0.815,0.41,14.6,1.988
21,1,0.825,0.416,14.6,1.983
22,1.05,0.837,0.423,14.6,1.979
23,1.1,0.851,0.429,14.6,1.984
24,1.15,0.865,0.435,14.7,1.989
25,1.2,0.875,0.442,14.7,1.98
26,1.25,0.885,0.448,14.7,1.975
27,1.3,0.898,0.454,14.8,1.978
28,1.35,0.912,0.46,14.8,1.983
29,1.4,0.924,0.465,14.8,1.987
30,1.45,0.936,0.472,14.9,1.983
31,1.5,0.95,0.478,14.9,1.987
32,1.55,0.959,0.484,14.9,1.981
33,1.6,0.972,0.49,15,1.984
34,1.65,0.986,0.497,15,1.984
35,1.7,0.999,0.503,15.1,1.986
36,1.75,1.01,0.509,15.1,1.984
37,1.8,1.023,0.514,15.1,1.99
38,1.85,1.036,0.521,15.1,1.988
39,1.9,1.045,0.527,15.2,1.983
40,1.95,1.06,0.533,15.2,1.989
41,2,1.07,0.539,15.2,1.985
42,2.05,1.084,0.544,15.3,1.993
43,2.1,1.097,0.549,15.3,1.998
44,2.15,1.109,0.556,15.3,1.995
45,2.2,1.122,0.562,15.3,1.996
46,2.25,1.137,0.567,15.4,2.005
47,2.3,1.149,0.573,15.4,2.005
48,2.35,1.159,0.579,15.5,2.002
49,2.4,1.173,0.585,15.5,2.005
50,2.45,1.187,0.591,15.6,2.008
51,2.5,1.199,0.597,15.6,2.008
52,2.55,1.213,0.603,15.6,2.012
53,2.6,1.225,0.608,15.6,2.015
54,2.65,1.238,0.614,15.7,2.016
55,2.7,1.248,0.62,15.7,2.013
56,2.75,1.262,0.625,15.8,2.019
57,2.8,1.276,0.631,15.8,2.022
58,2.85,1.287,0.638,15.8,2.017
59,2.9,1.301,0.643,15.8,2.023
60,2.95,1.311,0.649,15.8,2.02
61,3,1.324,0.655,15.9,2.021
62,3.05,1.337,0.66,15.9,2.026
63,3.1,1.349,0.666,16,2.026
64,3.15,1.359,0.672,16,2.022
65,3.2,1.372,0.678,16.1,2.024
66,3.25,1.386,0.684,16.1,2.026
67,3.3,1.401,0.689,16.1,2.033
68,3.35,1.412,0.695,16.1,2.032
69,3.4,1.426,0.7,16.2,2.037
70,3.45,1.434,0.706,16.2,2.031
71,3.5,1.447,0.712,16.3,2.032
72,3.55,1.461,0.717,16.3,2.038
73,3.6,1.474,0.723,16.3,2.039
74,3.65,1.485,0.729,16.3,2.037
75,3.7,1.496,0.734,16.4,2.038
76,3.75,1.508,0.74,16.4,2.038
77,3.8,1.521,0.745,16.5,2.042
78,3.85,1.534,0.751,16.5,2.043
79,3.9,1.547,0.756,16.6,2.046
80,3.95,1.558,0.763,16.6,2.042
81,4,1.568,0.768,16.6,2.042
82,4.05,1.579,0.774,16.6,2.04
83,4.1,1.593,0.78,16.6,2.042
84,4.15,1.603,0.785,16.7,2.042
85,4.2,1.614,0.79,16.7,2.043
86,4.25,1.626,0.798,16.8,2.038
87,4.3,1.64,0.803,16.8,2.042
88,4.35,1.651,0.808,16.9,2.043
89,4.4,1.661,0.815,16.9,2.038
90,4.45,1.675,0.82,16.9,2.043
91,4.5,1.686,0.825,16.9,2.044
92,4.55,1.695,0.832,17,2.037
93,4.6,1.709,0.837,17,2.042
94,4.65,1.722,0.844,17,2.04
95,4.7,1.732,0.849,17.1,2.04
96,4.75,1.743,0.855,17.1,2.039
97,4.8,1.758,0.86,17.1,2.044
98,4.85,1.767,0.866,17.2,2.04
99,4.9,1.778,0.872,17.2,2.039
100,4.95,1.793,0.878,17.3,2.042
101,5,1.803,0.883,17.3,2.042
102,5.05,1.812,0.889,17.3,2.038
103,5.1,1.824,0.896,17.3,2.036
104,5.15,1.839,0.901,17.3,2.041
105,5.2,1.847,0.906,17.4,2.039
106,5.25,1.86,0.912,17.4,2.039
107,5.3,1.87,0.919,17.5,2.035
108,5.35,1.882,0.923,17.5,2.039
109,5.4,1.895,0.93,17.6,2.038
110,5.45,1.907,0.936,17.6,2.037
111,5.5,1.917,0.941,17.6,2.037
112,5.55,1.93,0.948,17.7,2.036
113,5.6,1.94,0.954,17.7,2.034
114,5.65,1.952,0.96,17.7,2.033
115,5.7,1.965,0.966,17.8,2.034
116,5.75,1.973,0.972,17.8,2.03
117,5.8,1.989,0.977,17.8,2.036
118,5.85,1.999,0.984,17.8,2.032
119,5.9,2.011,0.989,17.9,2.033
120,5.95,2.022,0.995,17.9,2.032
121,6,2.034,1.001,18,2.032
122,6.05,2.046,1.007,18,2.032
123,6.1,2.058,1.013,18,2.032
124,6.15,2.067,1.018,18.1,2.03
125,6.2,2.078,1.025,18.1,2.027
126,6.25,2.09,1.03,18.2,2.029
127,6.3,2.102,1.037,18.2,2.027
128,6.35,2.115,1.042,18.2,2.03
129,6.4,2.123,1.048,18.2,2.026
130,6.45,2.137,1.054,18.3,2.028
131,6.5,2.149,1.061,18.3,2.025
132,6.55,2.161,1.067,18.4,2.025
133,6.6,2.169,1.073,18.4,2.021
134,6.65,2.184,1.079,18.4,2.024
135,6.7,2.196,1.085,18.4,2.024
